word,spanish,path
xti,un momento,image/1.jpg
ga',cesta,image/2.jpg
nchha',sé diferente,image/3.jpg
cha',pan,image/4.jpg
xha',ropa,image/5.jpg
kwa,masa de harina,image/6.jpg
za'a,maíz,image/7.jpg
be,agrietado,image/8.jpg
chha,día,image/9.jpg
xche',cena,image/10.jpg
yo,tierra,image/11.jpg
we'e,emborracharse,image/12.jpg
I',fuego,image/13.jpg
xa'a,yendo,image/14.jpg
ba,tumba,image/15.jpg
chhi,el esta sentado,image/16.jpg
zi'i,pesado,image/17.jpg
ni,aquí,image/18.jpg
xe',su (formal) padre,image/19.jpg
xne'e,su (formal) madre,image/20.jpg
la,caliente,image/21.jpg
yo,casa,image/22.jpg
da',lo,image/23.jpg
ka',como eso,image/24.jpg
yo'o,caliza,image/25.jpg
ya'a,montaña,image/26.jpg
xna'a,mi madre,image/27.jpg
lba'a,cuello,image/28.jpg
ga,nueve,image/29.jpg
go'o,no,image/30.jpg
lo,en,image/31.jpg
to,uno,image/32.jpg
wi,naranja,image/33.jpg
zi',dolor,image/34.jpg
da'a,petate,image/35.jpg
wa,maduro,image/36.jpg
do,soga,image/37.jpg
li,directo,image/38.jpg
ba,el verano,image/39.jpg
chi,diez,image/40.jpg
ba,allá,image/41.jpg
ba',esta mañana,image/42.jpg
chi'i,voz,image/43.jpg
no,quién,image/44.jpg
be',viento,image/45.jpg
we',herida,image/46.jpg
xno'o,tu madre,image/47.jpg
,,
